,Razão Social,Nome de Pregão,Segmento,Código,Categoria
143,CARRIER GLOBAL CORPORATION,CARRIER GLOB,BDR / CDADRN,C1RR,
144,CARTERS INC,CARTERS INC,BDR / CDADRN,CRIN,
145,CATERPILLAR INC.,CATERPILLAR,BDR / CDADRN,CATP,
146,CBOE GLOBAL MARKETS INC,CBOE GLOBAL,BDR / CDADRN,C1BO,
147,CBRE GROUP INC,CBRE GROUP I,BDR / CDADRN,C1BR,
148,CDW CORPORATION,CDW CORP,BDR / CDADRN,C1DW,
149,CELANESE CORP,CELANESE COR,BDR / CDADRN,C1NS,
150,CEMEX SAB DE CV,CEMEX SAB,BDR / CDADRN,C2EM,
151,CENCORA INC,CENCORA INC,BDR / CDADRN,C1CO,
152,CENTENE CORP,CENTENE CORP,BDR / CDADRN,C1NC,
153,CENTERPOINT ENERGY INC,CENTERPOINT,BDR / CDADRN,C1NP,
154,CERENCE INC,CERENCE INC,BDR / CDADRN,C2RN,
155,CF INDUSTRIES HOLDINGS INC,CF INDUSTRIE,BDR / CDADRN,C1FI,
156,CH ROBINSON WORLDWIDE INC,CH ROBINSON,BDR / CDADRN,C1HR,
157,CHARGEPOINT HOLDINGS INC,CHARGEPOINTH,BDR / CDADRN,C2HP,
158,CHARTER COMMUNICATIONS INC,CHARTER COMM,BDR / CDADRN,CHCM,
159,CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHECK POINT,BDR / CDADRN,C1HK,
160,CHEVRON CORPORATION,CHEVRON,BDR / CDADRN,CHVX,
161,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEX,BDR / CDADRN,C1MG,
162,CHUBB LTD,CHUBB LTD,BDR / CDADRN,C1BL,
163,CHUNGHWA TELECOM CO LTD,CHUNGHWA TEL,BDR / CDADRN,C1HT,
164,CHURCH & DWIGHT CO INC,CHURCH DWIGH,BDR / CDADRN,CHDC,
165,CHURCHILL DOWNS INC,CHURCHILL DW,BDR / CDADRN,C2HD,
166,CINCINNATI FINANCIAL CORP,CINCINNATI,BDR / CDADRN,CINF,
167,CINTAS CORP,CINTAS CORP,BDR / CDADRN,C1TA,
168,CISCO SYSTEMS. INC.,CISCO,BDR / CDADRN,CSCO,
169,CITIGROUP INC.,CITIGROUP,BDR / CDADRN,CTGP,
170,CITIZENS FINANCIAL GROUP INC,CITIZENS FIN,BDR / CDADRN,C1FG,
171,CLOROX COMPANY,CLOROX CO,BDR / CDADRN,CLXC,
172,CLOUDFLARE INC,CLOUDFLARE,BDR / CDADRN,N2ET,
173,CLOVER HEALTH INVESTMENTS CORP,CLOVERHEALTH,BDR / CDADRN,CLOV,
174,CME GROUP INC.,CME GROUP,BDR / CDADRN,CHME,
175,CMS ENERGY CORP,CMS ENERGY C,BDR / CDADRN,C1MS,
176,COCA-COLA FEMSA SAB DE CV,FEMSA SAB CV,BDR / CDADRN,C2CA,
177,COGNEX CORP,COGNEX CORP,BDR / CDADRN,C2GN,
178,COGNIZANT TECHNOLOGY SOLUTIONS,COGNIZANT,BDR / CDADRN,CTSH,
179,COINBASE GLOBAL INC,COINBASEGLOB,BDR / CDADRN,C2OI,
180,COLGATE-PALMOLIVE COMPANY,COLGATE,BDR / CDADRN,COLG,
181,COLUMBIA SPORTSWEAR CO,COLUMBIA SPO,BDR / CDADRN,C2SW,
182,COMCAST CORPORATION,COMCAST,BDR / CDADRN,CMCS,
183,COMERICA INC,COMERICA INC,BDR / CDADRN,C1MA,
184,CONAGRA BRANDS INC,CONAGRA BRAN,BDR / CDADRN,C1AG,
185,CONOCOPHILLIPS,COPHILLIPS,BDR / CDADRN,COPH,
186,CONSOLIDATED EDISON INC,CONSOLIDATED,BDR / CDADRN,E1DI,
187,CONSTELLATION BRANDS INC,CONSTELLATIO,BDR / CDADRN,STZB,
188,COOPER COMPANIES INC,COOPER COMPA,BDR / CDADRN,C1OO,
189,COPART INC,COPART INC,BDR / CDADRN,C1PR,
190,CORNING INC,CORNING INC,BDR / CDADRN,G1LW,
191,CORTEVA INC,CORTEVA INC,BDR / CDADRN,C1TV,
192,COSTAR GROUP INC,COSTAR GROUP,BDR / CDADRN,C1GP,
193,COSTCO WHOLESALE CORPORATION,COSTCO,BDR / CDADRN,COWC,
194,COTERRA ENERGY INC.,COTERRA ENER,BDR / CDADRN,C1OG,
